"Group","id","BRISONr","genotype","RYear","quality","country","decade","maturity","height","breeder","kai","carolin"
"SK",1,"BRISONr_1","Einstein",2004,"B","GB",2000,"S","K","Nickerson/Limagrain",TRUE,FALSE
"SK",10,"BRISONr_10","Gordian",2013,"B","DE",2010,"S","K","Syngenta Seeds",TRUE,TRUE
"SK",100,"BRISONr_100","Kerubino",2004,"E","DE",2000,"S","K","Saatzucht Schmid Landau",TRUE,TRUE
"SK",101,"BRISONr_101","Arktis",2010,"E","DE",2010,"S","K","DSV",TRUE,TRUE
"SK",102,"BRISONr_102","Urban",1980,"E","DE",1980,"S","K","Bauer, G.",TRUE,TRUE
"SK",103,"BRISONr_103","Orestis",1988,"B","DE",1980,"S","K","Strube, Dr. H.",TRUE,TRUE
"SK",104,"BRISONr_104","Flair",1996,"B","DE",1990,"S","K","Schweiger",TRUE,TRUE
"SK",105,"BRISONr_105","Anthus",2005,"B","DE",2000,"S","K","KWS Lochow GmbH",TRUE,TRUE
"SK",106,"BRISONr_106","Bombus",2012,"C","DE",2010,"S","K","Secobra Recherches",TRUE,TRUE
"SK",107,"BRISONr_107","Lucius",2006,"A","DE",2000,"S","K","Secobra Recherches",TRUE,TRUE
"SK",108,"BRISONr_108","Herzog",1986,"A","DE",1980,"S","K","Saatzucht Breun",TRUE,TRUE
"SK",109,"BRISONr_109","Sorbas",1985,"B","DE",1980,"S","K","Strube, Dr. H.",TRUE,TRUE
"SK",11,"BRISONr_11","Mentor",2012,"B","DE",2010,"S","K","RAGT/Mellinger",TRUE,TRUE
"SK",110,"BRISONr_110","Tabor",1979,"A","DE",1970,"S","K","Strube",TRUE,TRUE
"SK",111,"BRISONr_111","Terrier",2001,"B","DE",2000,"S","K","Nickerson",TRUE,TRUE
"SK",112,"BRISONr_112","Magister",2005,"E","DE",2000,"S","K","Bauer",TRUE,TRUE
"SK",113,"BRISONr_113","Altos",2000,"E","DE",2000,"S","K","Syngenta Hadmersleben",TRUE,TRUE
"SK",114,"BRISONr_114","Progress",1969,"A","DE",1960,"S","K","Hege",TRUE,TRUE
"SK",115,"BRISONr_115","Xanthippe",2011,"Ck","DE",2010,"S","K","Sejet Planteforaedling I/S",TRUE,TRUE
"SK",116,"BRISONr_116","Avenir",2013,"A","DE",2010,"S","K","Saatzucht Josef Breun",TRUE,TRUE
"SK",117,"BRISONr_117","Pantus",1966,"A","DE",1960,"S","K","Streng",TRUE,TRUE
"SK",118,"BRISONr_118","Drifter",1999,"B","DE",1990,"S","K","Nickerson",TRUE,TRUE
"SK",119,"BRISONr_119","Joss",1972,"C","DE",1970,"S","K","Breustedt",TRUE,TRUE
"SK",12,"BRISONr_12","Meister",2010,"A","DE",2010,"S","K","RAGT/Mellinger",TRUE,TRUE
"SK",120,"BRISONr_120","Kranich",1969,"A","DE",1960,"S","K","Lochow-Petkus",TRUE,TRUE
"SK",121,"BRISONr_121","Sperber",1982,"A","DE",1980,"S","K","Lochow-Petkus",TRUE,TRUE
"SK",122,"BRISONr_122","Discus",2007,"A","DE",2000,"S","K","Pflanzenzucht SaKa GmbH&Co.KG",TRUE,TRUE
"SK",123,"BRISONr_123","Helios",1980,NA,"DE",2010,"S","K","Saatzucht Schweiger",FALSE,FALSE
"SK",124,"BRISONr_124","Obelisk",1987,"B","NE, DE",1980,"S","K","Strube, Dr. H.",TRUE,TRUE
"SL",125,"BRISONr_125","Magnus",2000,"A","DE",2000,"S","L","Engelen Buechling",TRUE,TRUE
"SL",126,"BRISONr_126","Disponent",1975,"A","DE",1970,"S","L","Bayrische Saatzuchtgesellschaft",TRUE,TRUE
"SL",127,"BRISONr_127","Tambor",1993,"A","DE",1990,"S","L","Semundo",TRUE,TRUE
"SL",128,"BRISONr_128","Boxer",2013,"C","DE",2010,"S","L","Ackermann Saatzucht",TRUE,TRUE
"SL",129,"BRISONr_129","Sokrates",2001,"A","DE",2000,"S","L","Saatzucht Engelen",TRUE,TRUE
"SK",13,"BRISONr_13","KWS Santiago",2011,"C","GB",2010,"S","K","KWS Lochow",TRUE,TRUE
"SL",130,"BRISONr_130","Carisuper",1975,"A","DE",1970,"S","L","Heidenreich und Eger",TRUE,TRUE
"SL",131,"BRISONr_131","Rektor",1980,"E","DE",1980,"S","L","Firlbeck",TRUE,TRUE
"SL",132,"BRISONr_132","Alves",2010,"A","DE",2010,"S","L","SW Seeds",TRUE,TRUE
"SL",133,"BRISONr_133","NaturaStar",2002,"A","DE",2000,"S","L","Saatzucht Schweiger",TRUE,FALSE
"SL",134,"BRISONr_134","Alidos",1987,"E","DE",1980,"S","L","Saatzucht Hadmersleben",TRUE,TRUE
"SL",135,"BRISONr_135","Monopol",1975,"E","DE",1970,"S","L","Firlbeck",TRUE,TRUE
"SL",136,"BRISONr_136","Akratos",2004,"A","DE",2000,"S","L","Strube Saatzucht",TRUE,TRUE
"SL",137,"BRISONr_137","Knirps",1985,"B",NA,1980,"S","L","Semundo",TRUE,TRUE
"SL",138,"BRISONr_138","Bussard",1990,"E","DE",1990,"S","L","Lochow-Petkus",TRUE,TRUE
"SL",139,"BRISONr_139","Oberst",1980,"A","DE",1980,"S","L","Engelen Buechling",TRUE,TRUE
"SK",14,"BRISONr_14","Brigand",1979,"BISC, D","GB",1970,"S","K","Plant Breeding International Cambridge",FALSE,FALSE
"SL",140,"BRISONr_140","Cappelle Desprez",NA,"B","FR, CHL, GB, NL",1940,"S","L","SAS Florimond Desprez",FALSE,FALSE
"SL",141,"BRISONr_141","Tiger",2001,"A","DE",2000,"S","L","Franck",TRUE,TRUE
"SL",142,"BRISONr_142","Ibis",1991,"A","DE",1990,"S","L","Lochow-Petkus",TRUE,TRUE
"SL",143,"BRISONr_143","Batis",1994,"A","DE",1990,"S","L","Strube, Dr. H.",TRUE,TRUE
"SL",144,"BRISONr_144","Topfit",1972,"B","DE",1970,"S","L","Strube, Dr. H.",TRUE,TRUE
"SL",145,"BRISONr_145","Akteur",2003,"E","DE",2000,"S","L","DSV",TRUE,TRUE
"SL",146,"BRISONr_146","Ludwig",1998,"A","DE",1990,"S","L","Franck",TRUE,TRUE
"SL",147,"BRISONr_147","Asketis",1998,"A","DE",1990,"S","L","Strube, Dr. H.",TRUE,TRUE
"SL",148,"BRISONr_148","Aristos",1997,"A","DE",1990,"S","L","Strube, Dr. H.",TRUE,TRUE
"SL",149,"BRISONr_149","Zentos",1989,"E","DE",1980,"S","L","Saatzucht Hadmersleben",TRUE,TRUE
"SK",15,"BRISONr_15","Profilus",2008,"A","DE",2000,"S","K","RAGT/Mellinger",TRUE,TRUE
"SL",150,"BRISONr_150","Diplomat",1966,"A","DE",1960,"S","L","Firlbeck",TRUE,TRUE
"SL",151,"BRISONr_151","Astron",1989,"A","DE",1980,"S","L","Strube, Dr. H.",TRUE,TRUE
"SL",152,"BRISONr_152","Basalt",1980,"B","DE",1980,"S","L","Hege, H.-U.",TRUE,TRUE
"SL",153,"BRISONr_153","Kormoran",1973,"A","DE",1970,"S","L","Lochow-Petkus",TRUE,TRUE
"SL",154,"BRISONr_154","Aron",1992,"E","DE",1990,"S","L","Semundo",TRUE,TRUE
"SL",155,"BRISONr_155","KWS Milaneco",2013,"E","DE",2010,"S","L","KWS LOCHOW GMBH",TRUE,TRUE
"SL",156,"BRISONr_156","Aszita",2005,"B","DE",2000,"S","L","Getreidezüchtung Peter Kunz",TRUE,FALSE
"SL",157,"BRISONr_157","Kobold",1978,"B","DE",1970,"S","L","Firlbeck",TRUE,TRUE
"SL",158,"BRISONr_158","Carimulti",1975,"B","DE",1970,"S","L","Heidenreich und Eger",TRUE,TRUE
"SL",159,"BRISONr_159","Admiral",1968,"A","DE",1960,"S","L","Firlbeck",TRUE,TRUE
"SK",16,"BRISONr_16","Durin",NA,NA,"FR",NA,"S","K",NA,FALSE,FALSE
"SL",160,"BRISONr_160","Vuka",1975,"A","DE",1970,"S","L","Franck",TRUE,TRUE
"SL",161,"BRISONr_161","Benno",1973,"E","DE",1970,"S","L","Bauer, G.",TRUE,TRUE
"SL",162,"BRISONr_162","Apollo",1984,"C","DE",1980,"S","L","Saatzucht Breun",TRUE,TRUE
"SL",163,"BRISONr_163","Aquila",1979,"B3","EU",1970,"S","L","Nickerson",TRUE,TRUE
"SL",164,"BRISONr_164","Kanzler",1980,"B","DE",1980,"S","L","Engelen Buechling",TRUE,TRUE
"SL",165,"BRISONr_165","Kraka",1982,"A","DE",1980,"S","L","Petersen, A.S.",TRUE,TRUE
"SL",166,"BRISONr_166","Caribo",1968,"B","DE",1960,"S","L","Heidenreich und Eger",TRUE,TRUE
"SL",167,"BRISONr_167","Butaro",2009,"E","DE",2000,"S","L","LandbauschuleDottenfelderhof e.V./Spieß",TRUE,FALSE
"SL",168,"BRISONr_168","Konsul",1990,"B","DE",1990,"S","L","Svaloef Weibull",TRUE,TRUE
"SL",169,"BRISONr_169","Ares",1983,"B","DE",1980,"S","L","Strube, Dr. H.",TRUE,TRUE
"SK",17,"BRISONr_17","KWS Pius",2010,"A","DE",2010,"S","K","KWS Lochow",TRUE,TRUE
"FL",170,"BRISONr_170","Centurk",1971,"exot","USA",1970,"F","L","Nebraska Agricultural Experiment Station, USDA-ARS",FALSE,FALSE
"FL",171,"BRISONr_171","NS 22/92",NA,NA,"SRB",NA,"F","L",NA,FALSE,FALSE
"FL",172,"BRISONr_172","Benni multifloret",1980,"exot","USA",1980,"F","L","Purdue University Agricultural Experiment Station",FALSE,FALSE
"FL",173,"BRISONr_173","Hope",NA,NA,"USA",1940,"F","L","S.Dakota Agricultural Experiment Station",FALSE,FALSE
"FL",174,"BRISONr_174","Vel",NA,NA,"USA",NA,"F","L",NA,FALSE,FALSE
"FL",175,"BRISONr_175","Phoenix",1981,"exot","AUS, USA",1980,"F","L","Agricultural Research Institute, Wagga Wagga",FALSE,FALSE
"FL",176,"BRISONr_176","Mironovska 808",1963,"exot","UKR",1960,"F","L","Mironovskii institut selektsii i semenovodstva pshenitsy",FALSE,FALSE
"FK",177,"BRISONr_177","Caphorn",2000,NA,"FR",2000,"F","K","RAGT 2 n",TRUE,FALSE
"FK",178,"BRISONr_178","Cordiale",2003,NA,"GB",2000,"F","K","KWS UK Limited",TRUE,FALSE
"FK",179,"BRISONr_179","Apache",1997,"A","CZ",1990,"F","K"," Nickerson>Limagrain",TRUE,TRUE
"SK",18,"BRISONr_18","Paroli",2004,"A","DE",2000,"S","K","DSV",TRUE,TRUE
"FK",180,"BRISONr_180","Premio",2006,"B","FR",2000,"F","K"," RAGT",TRUE,TRUE
"FK",181,"BRISONr_181","Isengrain",1996,"B","EU",1990,"F","K","Florimond Desprez, WvB, Witt",TRUE,TRUE
"FK",182,"BRISONr_182","Alixan",2005,"A","FR",2000,"F","K","Limagrain",TRUE,FALSE
"FK",183,"BRISONr_183","Boregar",2007,"A7 ","FR",2000,"F","K","RAGT 2 n",TRUE,TRUE
"FK",184,"BRISONr_184","Renesansa",1995,"A2-A1","SRB",1990,"F","K","Institute of Field and Vegetable Crops, Novi Sad",FALSE,FALSE
"FK",185,"BRISONr_185","Tremie",1991,NA,"EU",1990,"F","K","Serasem>RAGT",TRUE,FALSE
"FK",186,"BRISONr_186","KWS Ferrum",2012,"B","DE",2010,"F","K","KWS LOCHOW GMBH ",TRUE,TRUE
"FK",187,"BRISONr_187","Triple Dirk ""S""",NA,NA,"AUS",NA,"F","K","Instituto Nacional de Investigaciones Agricolas",FALSE,FALSE
"FK",188,"BRISONr_188","Cardos",1998,"A","DE",1990,"F","K","Saatzucht Hadmersleben",TRUE,TRUE
"FK",189,"BRISONr_189","Soissons",1987,"B/A ","EU",1980,"F","K","Florimond Desprez",TRUE,FALSE
"SK",19,"BRISONr_19","Estivus",2012,"A","DE",2010,"S","K","Strube Saatzucht",TRUE,TRUE
"FK",190,"BRISONr_190","BCD 1302/83",NA,NA,"MD",NA,"F","K","Goertzen Seed Research, Westbred?",FALSE,FALSE
"FK",191,"BRISONr_191","Arlequin",2007,NA,"FR",2000,"F","K","Limagrain Verneuil Holding",TRUE,FALSE
"FK",192,"BRISONr_192","Sonalika",1967,"exot","IND",1960,"F","K","Indian Agricultural Research Institute IARI",FALSE,FALSE
"FK",193,"BRISONr_193","Camp Remy",1980,"B","DE",1980,"F","K","Unisigma",TRUE,TRUE
"FK",194,"BRISONr_194","Cajeme 71",1971,"exot","MEX",1970,"F","K","CIMMYT",FALSE,FALSE
"FK",195,"BRISONr_195","Avalon",1980,"B/Gd","GB",1980,"F","K","Plant Breeding International Cambridge PBIC",FALSE,FALSE
"FK",196,"BRISONr_196","Ivanka",1998,"B","SRB",1990,"F","K","Institute of Field and Vegetable Crops, Novi Sad",TRUE,FALSE
"FK",197,"BRISONr_197","Pobeda",1990,"A1-A2","SRB",1990,"F","K","Institute of Field and Vegetable Crops, Novi Sad",FALSE,FALSE
"FK",198,"BRISONr_198","NS 66/92",NA,NA,"SRB",NA,"F","K",NA,FALSE,FALSE
"FK",199,"BRISONr_199","Mexico 3",NA,NA,"MEX",NA,"F","K","BAZ, Braunschweig Genetic Resources Centre",FALSE,FALSE
"SK",2,"BRISONr_2","Oakley",2008,"C","UK,BE",2000,"S","K","KWS UK Limited",TRUE,FALSE
"SK",20,"BRISONr_20","Kronjuwel",1980,"B","DE",1980,"S","K","Bayrische Saatzuchtgesellschaft",TRUE,TRUE
"FK",200,"BRISONr_200","Orcas",2010,"B","DE",2010,"F","K","Secobra Recherches",TRUE,TRUE
"FK",201,"BRISONr_201","Nimbus",1975,"B","DE",1970,"F","K","Firlbeck",TRUE,TRUE
"FK",202,"BRISONr_202","Muskat",2010,"C","DE",2010,"F","K","DSV",TRUE,TRUE
"FK",203,"BRISONr_203","Florida",1986,NA,"USA",1980,"F","K",NA,FALSE,FALSE
"FK",204,"BRISONr_204","Rumor",2013,"B","DE",2010,"F","K","Dr. Hermann Strube",TRUE,TRUE
"FK",205,"BRISONr_205","Highbury",1968,"A","GB",1960,"F","K","Plant Breeding International Cambridge (PBIC)",FALSE,FALSE
"FK",206,"BRISONr_206","Siete Cerros",1966,"exot","MEX",1960,"F","K","Instituto Nacional de Investigaciones Agricolas, CIMMYT",FALSE,FALSE
"FK",207,"BRISONr_207","Kontrast",1990,"A","DE",1990,"F","K","Saatzucht Hadmersleben",TRUE,TRUE
"FK",208,"BRISONr_208","WW 4180",2012,NA,"DE",2010,"F","K","Saatzucht Josef Breun",TRUE,TRUE
"FK",209,"BRISONr_209","INTRO 615",NA,NA,"USA",NA,"F","K",NA,FALSE,FALSE
"SK",21,"BRISONr_21","Desamo",2013,"B","DE",2010,"S","K","Syngenta Seeds",TRUE,TRUE
"FK",210,"BRISONr_210","NS 46/90",NA,NA,"SRB",NA,"F","K",NA,FALSE,FALSE
"FK",211,"BRISONr_211","Mex. 17 bb",NA,NA,"MEX",NA,"F","K","CYMMIT",FALSE,FALSE
"FK",212,"BRISONr_212","Labriego-Inia",1980,NA,"CHL",1980,"F","K","INIA Chillan",FALSE,FALSE
"FK",213,"BRISONr_213","Pegassos",1994,"A","EU",1990,"F","K","Strube Saatzucht",TRUE,TRUE
"FK",214,"BRISONr_214","Hybred",2003,"B","EU",2000,"F","K","Nordsaat",TRUE,TRUE
"FK",215,"BRISONr_215","Hyland",2009,"B","DE,HU",2000,"F","K","Nordsaat",TRUE,TRUE
"FK",216,"BRISONr_216","Hybery",2010,"B","FR",2010,"F","K","Saaten Union Recherche",TRUE,TRUE
"FK",217,"BRISONr_217","Hystar",2007,"B","FR",2000,"F","K","Saaten Union Recherche",TRUE,TRUE
"FK",218,"BRISONr_218","Hylux",2012,"B","FR",2010,"F","K","Saaten Union Recherche / Estrées St Denis",TRUE,TRUE
"FK",219,"BRISONr_219","Piko",1994,"B","DE",1990,"F","K","NORDSAAT",TRUE,TRUE
"SK",22,"BRISONr_22","Carenius",2006,"B","DE",2000,"S","K","Eger/Dieckmann (EU)",TRUE,TRUE
"FK",220,"BRISONr_220","SUR 99820",NA,NA,"FR",NA,"F","K","Saaten Union Recherche SAS ?",FALSE,FALSE
"SK",23,"BRISONr_23","Mulan",2006,"B","DE",2000,"S","K","Nordsaat Saatzucht",TRUE,TRUE
"SK",24,"BRISONr_24","Kredo",2009,"B","DE",2000,"S","K","Nordsaat Saatzucht",TRUE,TRUE
"SK",25,"BRISONr_25","Nelson",2011,"E","DE",2010,"S","K","Saatzucht Schweiger",TRUE,TRUE
"SK",26,"BRISONr_26","Patras",2012,"A","DE",2010,"S","K","DSV",TRUE,TRUE
"SK",27,"BRISONr_27","Götz",1978,"B","DE",1970,"S","K","Bayrische Saatzuchtgesellschaft",TRUE,TRUE
"SK",28,"BRISONr_28","Robigus",2004,"Bk","GB",2000,"S","K","KWS UK Limited, CPB Twyford Ltd",TRUE,FALSE
"SK",29,"BRISONr_29","Anapolis",2013,"C","DE",2010,"S","K","NORDSAAT Saatzuchtgesellschaft",TRUE,TRUE
"SK",3,"BRISONr_3","Jafet",2008,"E","DE",2000,"S","K","Sandra Senghaas-Kirschenlohr",TRUE,TRUE
"SK",30,"BRISONr_30","Solstice",2001,NA,"GB",2000,"S","K","Limagrain UK Ltd",TRUE,FALSE
"SK",31,"BRISONr_31","Biscay",2000,"C","DE",2000,"S","K","Lochow-Petkus",TRUE,TRUE
"SK",32,"BRISONr_32","Capone",2012,"A","DE",2010,"S","K","LIMAGRAIN GmbH",TRUE,TRUE
"SK",33,"BRISONr_33","Tabasco",2008,"C","DE",2000,"S","K","v. Borris-Eckendorf",TRUE,TRUE
"SK",34,"BRISONr_34","Kometus",2011,"A","DE",2010,"S","K","Saatzucht Schweiger",TRUE,TRUE
"SK",35,"BRISONr_35","Cubus",2002,"A","DE",2000,"S","K","Lochow-Petkus",TRUE,TRUE
"SK",36,"BRISONr_36","Edward",2013,"B","DE",2010,"S","K","W. von Borries-Eckendorf",TRUE,TRUE
"SK",37,"BRISONr_37","Famulus",2010,"E","DE",2010,"S","K","DSV",TRUE,TRUE
"SK",38,"BRISONr_38","Dekan",1999,"B","DE",1990,"S","K","Lochow-Petkus",TRUE,TRUE
"SK",39,"BRISONr_39","SW Topper",2002,"E",NA,2000,"S","K","SW Seeds",TRUE,TRUE
"SK",4,"BRISONr_4","Claire",1999,"C","IE,UK",1990,"S","K","Nickerson",TRUE,FALSE
"SK",40,"BRISONr_40","Matrix",2010,"B","DE",2010,"S","K","DSV",TRUE,TRUE
"SK",41,"BRISONr_41","Jenga",2007,"A","DE",2000,"S","K","Ackermann Saatzucht",TRUE,TRUE
"SK",42,"BRISONr_42","Linus",2010,"A","DE",2010,"S","K","RAGT/Mellinger",TRUE,TRUE
"SK",43,"BRISONr_43","TJB 990-15",1980,"BISC, D","GB",1980,"S","K","Plant Breeding International Cambridge (PBIC)",FALSE,FALSE
"SK",44,"BRISONr_44","Forum",2012,"A","EU",2010,"S","K","Nordsaat Saatzucht",TRUE,TRUE
"SK",45,"BRISONr_45","Colonia",2011,"B","EU",2010,"S","K","LIMAGRAIN GmbH",TRUE,TRUE
"SK",46,"BRISONr_46","Transit",1994,"A","DE",1990,"S","K","Saatzucht Josef Breun",TRUE,TRUE
"SK",47,"BRISONr_47","Potenzial",2006,"A","DE",2000,"S","K","DSV",TRUE,TRUE
"SK",48,"BRISONr_48","Gaucho",1993,NA,"USA",1990,"S","K","USDA-ARS, Oklahoma AES",TRUE,FALSE
"SK",49,"BRISONr_49","Tarso",1992,"A","DE",1990,"S","K","Saatzucht Hadmersleben",TRUE,TRUE
"SK",5,"BRISONr_5","Rebell",2013,"A","DE",2010,"S","K","RAGT ",TRUE,TRUE
"SK",50,"BRISONr_50","Hermann",2004,"Ck","DE",2000,"S","K","Limagrain-Nickerson",TRUE,TRUE
"SK",51,"BRISONr_51","Glaucus",2011,"A","DE",2010,"S","K","Strube Saatzucht",TRUE,TRUE
"SK",52,"BRISONr_52","Tuareg",2005,"A","DE",2000,"S","K","Nordsaat Saatzucht",TRUE,TRUE
"SK",53,"BRISONr_53","Atomic",2012,"A","DE",2010,"S","K","LIMAGRAIN GmbH",TRUE,TRUE
"SK",54,"BRISONr_54","Tobak",2011,"B","DE",2010,"S","K","W.v.Borries-Eckendorf",TRUE,TRUE
"SK",55,"BRISONr_55","Pionier",2013,"A","DE",2010,"S","K","Deutsche Saatveredelung",TRUE,TRUE
"SK",56,"BRISONr_56","Manager",2006,"B","DE",2000,"S","K","Saatzucht Schweiger GbR",TRUE,TRUE
"SK",57,"BRISONr_57","Gourmet",2013,"E","DE",2010,"S","K","Secobra Recherches",TRUE,TRUE
"SK",58,"BRISONr_58","Limes",2003,"B","DE",2000,"S","K","Innoseeds",TRUE,TRUE
"SK",59,"BRISONr_59","Ritmo",1993,"B","DE",1990,"S","K","Cebeco",TRUE,TRUE
"SK",6,"BRISONr_6","Memory",2013,"B","DE",2010,"S","K","Secobra Recherches",TRUE,TRUE
"SK",60,"BRISONr_60","Kalahari",2010,"B","EU",2010,"S","K","LIMAGRAIN GmbH",TRUE,TRUE
"SK",61,"BRISONr_61","Intro",2011,"B","DE,FRA",2010,"S","K","RAGT 2N",TRUE,TRUE
"SK",62,"BRISONr_62","Oxal",2010,"B","DE",2010,"S","K","RAGT/Mellinger",TRUE,TRUE
"SK",63,"BRISONr_63","Zobel",2006,"A","DE",2000,"S","K","Syngenta Cereals GmbH",TRUE,TRUE
"SK",64,"BRISONr_64","Event",2009,"E","DE",2000,"S","K","Saatzucht Josef Breun",TRUE,TRUE
"SK",65,"BRISONr_65","Joker",2012,"A","DE",2010,"S","K","DSV",TRUE,TRUE
"SK",66,"BRISONr_66","Global",2009,"B","DE,AT",2000,"S","K","RAGT/Mellinger",TRUE,TRUE
"SK",67,"BRISONr_67","Elixer",2012,"C","DE",2010,"S","K","v. Borris-Eckendorf",TRUE,TRUE
"SK",68,"BRISONr_68","Fedor",2007,"A","DE",2000,"S","K","W. von Borries-Eckendorf",TRUE,TRUE
"SK",69,"BRISONr_69","Türkis",2004,"A","DE",2000,"S","K","Lantmaennen SW Seed Hadmersleben GmbH",TRUE,TRUE
"SK",7,"BRISONr_7","Kurt",2013,"B","DE",2010,"S","K","LIMAGRAIN GmbH ",TRUE,TRUE
"SK",70,"BRISONr_70","Skagen",2006,"E","DE",2000,"S","K","v. Borris-Eckendorf",TRUE,TRUE
"SK",71,"BRISONr_71","Greif",1989,"B","DE",1980,"S","K","Lochow-Petkus",TRUE,TRUE
"SK",72,"BRISONr_72","Esket",2007,"A","DE",2000,"S","K","RAGT/Mellinger",TRUE,TRUE
"SK",73,"BRISONr_73","Primus",2009,"B","DE",2000,"S","K","DSV",TRUE,TRUE
"SK",74,"BRISONr_74","Skalmeje",2006,"C","DE",2000,"S","K","KWS Lochow GmbH",TRUE,TRUE
"SK",75,"BRISONr_75","Genius",2010,"E","DE",2010,"S","K","Nordsaat Saatzucht",TRUE,TRUE
"SK",76,"BRISONr_76","Enorm",2002,"E","DE",2000,"S","K","Schweiger",TRUE,TRUE
"SK",77,"BRISONr_77","Florian",2010,"E","DE",2010,"S","K","Nordsaat Saatzucht",TRUE,TRUE
"SK",78,"BRISONr_78","Skater",2000,"B","DE",2000,"S","K","Limagrain-Nickerson",TRUE,TRUE
"SK",79,"BRISONr_79","Brilliant",2005,"A","DE",2000,"S","K","SW Seeds",TRUE,TRUE
"SK",8,"BRISONr_8","Zappa",2009,"Ck","DE",2000,"S","K","Ackermann Saatzucht",TRUE,TRUE
"SK",80,"BRISONr_80","Inspiration",2007,"B","DE",2000,"S","K","Saatzucht Josef Breun GmbH & Co.KG",TRUE,TRUE
"SK",81,"BRISONr_81","Apertus",2013,"A","DE",2010,"S","K","Dr. Hermann Strube",TRUE,TRUE
"SK",82,"BRISONr_82","Ellvis",2002,"A","DE",2000,"S","K","Breun",TRUE,TRUE
"SK",83,"BRISONr_83","Edgar",2010,"B","DE",2010,"S","K","LIMAGRAIN GmbH",TRUE,TRUE
"SK",84,"BRISONr_84","Maris Huntsman",1975,"A","DE",1970,"S","K","Nordsaat",TRUE,TRUE
"SK",85,"BRISONr_85","SY Ferry",2012,"B","DE",2010,"S","K","Syngenta Seeds GmbH",TRUE,TRUE
"SK",86,"BRISONr_86","Landsknecht",2013,"C","DE",2010,"S","K","Secobra Recherches",TRUE,TRUE
"SK",87,"BRISONr_87","Sponsor",1994,NA,"FR, IE",1990,"S","K"," Unisigma",TRUE,FALSE
"SK",88,"BRISONr_88","Impression",2005,"A","DE",2000,"S","K","Saatzucht Schweiger GbR",TRUE,TRUE
"SK",89,"BRISONr_89","Winnetou",2002,"C","DE",2000,"S","K","Saatzucht Firlbeck",TRUE,TRUE
"SK",9,"BRISONr_9","Chevalier",2005,"A","EU",2000,"S","K","DSV ",TRUE,TRUE
"SK",90,"BRISONr_90","Toronto",1990,"A","DE",1990,"S","K","Strengs Erben",TRUE,TRUE
"SK",91,"BRISONr_91","Torrild",2005,"A","DE",2000,"S","K","v. Borris-Eckendorf",TRUE,TRUE
"SK",92,"BRISONr_92","Contra",1990,"C","DE",1990,"S","K","Saatzucht Breun",TRUE,TRUE
"SK",93,"BRISONr_93","Schamane",2005,"A","DE",2000,"S","K","Saatzucht Engelen Buechling e.K.",TRUE,TRUE
"SK",94,"BRISONr_94","Granada",1980,"B","DE",1980,"S","K","Schweiger",TRUE,TRUE
"SK",95,"BRISONr_95","KWS Cobalt",2013,"A","DE",2010,"S","K","KWS LOCHOW GMBH",TRUE,TRUE
"SK",96,"BRISONr_96","Tommi",2002,"A","DE",2000,"S","K","Nordsaat",TRUE,TRUE
"SK",97,"BRISONr_97","Saturn",1973,"B","DE",1970,"S","K","MPI",TRUE,TRUE
"SK",98,"BRISONr_98","Severin",1980,"A9",NA,1980,"S","K","Bauer, G.",TRUE,TRUE
"SK",99,"BRISONr_99","JB Asano",2008,"A","DE",2000,"S","K","Saatzucht Josef Breun GmbH & Co.KG",TRUE,TRUE
NA,221,"BRISONr_221","Julius",2008,"A",NA,2008,NA,NA,"KWS Lochow",FALSE,FALSE
NA,222,"BRISONr_222","RGT Reform",2014,"A",NA,2014,NA,NA,"RAGT",FALSE,FALSE
NA,223,"BRISONr_223","Benchmark",2015,"B",NA,2015,NA,NA,"Sejet",FALSE,FALSE
NA,224,"BRISONr_224","Barranco",2016,"E",NA,2016,NA,NA,"Secobra",FALSE,FALSE
NA,225,"BRISONr_225","Nordkap",2016,"A",NA,2016,NA,NA,"Nordsaat",FALSE,FALSE
NA,226,"BRISONr_226","Porthus",2016,"B",NA,2016,NA,NA,"Strube",FALSE,FALSE
NA,227,"BRISONr_227","Sheriff",2016,"C",NA,2016,NA,NA,"ISZ/Sejet",FALSE,FALSE
NA,228,"BRISONr_228","Apostel",2016,"A",NA,2016,NA,NA,"Streng",FALSE,FALSE
