BRISONr,genotype,RYear,quality,breeder,breeding_progress_subset
BRISONr_1,Einstein,2004,B,Nickerson/Limagrain,FALSE
BRISONr_2,Oakley,2008,C,KWS UK Limited,FALSE
BRISONr_3,Jafet,2008,E,Sandra Senghaas-Kirschenlohr,FALSE
BRISONr_4,Claire,1999,C,Nickerson,FALSE
BRISONr_5,Rebell,2013,A,RAGT,FALSE
BRISONr_6,Memory,2013,B,Secobra Recherches,FALSE
BRISONr_7,Kurt,2013,B,LIMAGRAIN GmbH ,FALSE
BRISONr_8,Zappa,2009,Ck,Ackermann Saatzucht,FALSE
BRISONr_9,Chevalier ,2005,A,DSV ,FALSE
BRISONr_10,Gordian,2013,B,Syngenta Seeds,FALSE
BRISONr_11,Mentor,2012,B,RAGT/Mellinger,FALSE
BRISONr_12,Meister,2010,A,RAGT/Mellinger,FALSE
BRISONr_13,KWS Santiago,2011,C,KWS Lochow,FALSE
BRISONr_14,Brigand,1979,"BISC, D",Plant Breeding International Cambridge,FALSE
BRISONr_15,Profilus,2008,A,RAGT/Mellinger,FALSE
BRISONr_16,Durin,NA,NA,NA,FALSE
BRISONr_17,KWS Pius,2010,A,KWS Lochow,FALSE
BRISONr_18,Paroli,2004,A,DSV,FALSE
BRISONr_19,Estivus,2012,A,Strube Saatzucht,FALSE
BRISONr_20,Kronjuwel,1980,B,Bayrische Saatzuchtgesellschaft,TRUE
BRISONr_21,Desamo,2013,B,Syngenta Seeds,FALSE
BRISONr_22,Carenius,2006,B,Eger/Dieckmann (EU),FALSE
BRISONr_23,Mulan,2006,B,Nordsaat Saatzucht,FALSE
BRISONr_24,Kredo,2009,B,Nordsaat Saatzucht,FALSE
BRISONr_25,Nelson,2011,E,Saatzucht Schweiger,FALSE
BRISONr_26,Patras,2012,A,DSV,TRUE
BRISONr_27,Götz,1978,B,Bayrische Saatzuchtgesellschaft,TRUE
BRISONr_28,Robigus,2004,Bk,"KWS UK Limited, CPB Twyford Ltd",FALSE
BRISONr_29,Anapolis,2013,C,NORDSAAT Saatzuchtgesellschaft,FALSE
BRISONr_30,Solstice,2001,NA,Limagrain UK Ltd,FALSE
BRISONr_31,Biscay,2000,C,Lochow-Petkus,TRUE
BRISONr_32,Capone,2012,A,LIMAGRAIN GmbH,FALSE
BRISONr_33,Tabasco,2008,C,v. Borris-Eckendorf,FALSE
BRISONr_34,Kometus,2011,A,Saatzucht Schweiger,FALSE
BRISONr_35,Cubus,2002,A,Lochow-Petkus,FALSE
BRISONr_36,Edward,2013,B,v. Borris-Eckendorf,FALSE
BRISONr_37,Famulus,2010,E,DSV,FALSE
BRISONr_38,Dekan,1999,B,Lochow-Petkus,TRUE
BRISONr_39,SW Topper,2002,E,Lantmaennen SW Seed Hadmersleben GmbH,FALSE
BRISONr_40,Matrix,2010,B,DSV,FALSE
BRISONr_41,Jenga,2007,A,Ackermann Saatzucht,FALSE
BRISONr_42,Linus,2010,A,RAGT/Mellinger,FALSE
BRISONr_43,TJB 990-15,1980,"BISC, D",Plant Breeding International Cambridge (PBIC),FALSE
BRISONr_44,Forum,2012,A,Nordsaat Saatzucht,FALSE
BRISONr_45,Colonia,2011,B,LIMAGRAIN GmbH,FALSE
BRISONr_46,Transit,1994,A,Saatzucht Josef Breun,FALSE
BRISONr_47,Potenzial,2006,A,DSV,TRUE
BRISONr_48,Gaucho,1993,NA,"USDA-ARS, Oklahoma AES",FALSE
BRISONr_49,Tarso,1992,A,Saatzucht Hadmersleben,FALSE
BRISONr_51,Glaucus,2011,A,Strube Saatzucht,FALSE
BRISONr_52,Tuareg,2005,A,Nordsaat Saatzucht,FALSE
BRISONr_53,Atomic,2012,A,LIMAGRAIN GmbH,FALSE
BRISONr_54,Tobak,2011,B,v. Borris-Eckendorf,TRUE
BRISONr_55,Pionier,2013,A,Deutsche Saatveredelung,FALSE
BRISONr_56,Manager,2006,B,Saatzucht Schweiger GbR,TRUE
BRISONr_57,Gourmet,2013,E,Secobra Recherches,FALSE
BRISONr_58,Limes,2003,B,Innoseeds,FALSE
BRISONr_59,Ritmo,1993,B,Cebeco,TRUE
BRISONr_60,Kalahari,2010,B,LIMAGRAIN GmbH,FALSE
BRISONr_61,Intro,2011,B,RAGT 2N,FALSE
BRISONr_62,Oxal,2010,B,RAGT/Mellinger,FALSE
BRISONr_63,Zobel,2006,A,Syngenta Cereals GmbH,FALSE
BRISONr_64,Event,2009,E,Saatzucht Josef Breun,FALSE
BRISONr_65,Joker,2012,A,DSV,FALSE
BRISONr_66,Global,2009,B,RAGT/Mellinger,FALSE
BRISONr_67,Elixer,2012,C,v. Borris-Eckendorf,TRUE
BRISONr_68,Fedor,2007,A,v. Borris-Eckendorf,FALSE
BRISONr_69,Türkis,2004,A,Lantmaennen SW Seed Hadmersleben GmbH,TRUE
BRISONr_70,Skagen,2006,E,v. Borris-Eckendorf,FALSE
BRISONr_71,Greif,1989,B,Lochow-Petkus,TRUE
BRISONr_72,Esket,2007,A,RAGT/Mellinger,FALSE
BRISONr_73,Primus,2009,B,DSV,FALSE
BRISONr_74,Skalmeje,2006,C,KWS Lochow GmbH,FALSE
BRISONr_75,Genius,2010,E,Nordsaat Saatzucht,FALSE
BRISONr_76,Enorm,2002,E,Saatzucht Schweiger GbR,FALSE
BRISONr_77,Florian,2010,E,Nordsaat Saatzucht,FALSE
BRISONr_78,Skater,2000,B,Limagrain-Nickerson,FALSE
BRISONr_79,Brilliant,2005,A,Lantmaennen SW Seed Hadmersleben GmbH,FALSE
BRISONr_80,Inspiration,2007,B,Saatzucht Josef Breun GmbH & Co.KG,TRUE
BRISONr_81,Apertus,2013,A,Dr. Hermann Strube,FALSE
BRISONr_82,Ellvis,2002,A,Breun,FALSE
BRISONr_83,Edgar,2010,B,LIMAGRAIN GmbH,FALSE
BRISONr_84,Maris Huntsman,1975,A,Nordsaat,FALSE
BRISONr_85,SY Ferry,2012,B,Syngenta Seeds GmbH,FALSE
BRISONr_86,Landsknecht,2013,C,Secobra Recherches,FALSE
BRISONr_87,Sponsor,1994,NA,Unisigma,FALSE
BRISONr_88,Impression,2005,A,Saatzucht Schweiger GbR,FALSE
BRISONr_89,Winnetou,2002,C,Saatzucht Firlbeck,FALSE
BRISONr_90,Toronto,1990,A,Strengs Erben,FALSE
BRISONr_91,Torrild,2005,A,v. Borris-Eckendorf,FALSE
BRISONr_92,Contra,1990,C,Saatzucht Josef Breun GmbH & Co.KG,TRUE
BRISONr_93,Schamane,2005,A,Saatzucht Engelen Buechling e.K.,FALSE
BRISONr_94,Granada,1980,B,Saatzucht Schweiger GbR,FALSE
BRISONr_95,KWS Cobalt,2013,A,KWS LOCHOW GMBH,FALSE
BRISONr_96,Tommi,2002,A,Nordsaat,TRUE
BRISONr_97,Saturn,1973,B,MPI,FALSE
BRISONr_98,Severin,1980,A9,"Bauer, G.",FALSE
BRISONr_99,JB Asano,2008,A,Saatzucht Josef Breun GmbH & Co.KG,TRUE
BRISONr_100,Kerubino,2004,E,Saatzucht Schmid Landau,FALSE
BRISONr_101,Arktis,2010,E,DSV,FALSE
BRISONr_102,Urban,1980,E,"Bauer, G.",TRUE
BRISONr_103,Orestis,1988,B,Strube Saatzucht,FALSE
BRISONr_104,Flair,1996,B,Saatzucht Schweiger GbR,TRUE
BRISONr_105,Anthus,2005,B,KWS Lochow GmbH,FALSE
BRISONr_106,Bombus,2012,C,Secobra Recherches,FALSE
BRISONr_107,Lucius,2006,A,Secobra Recherches,FALSE
BRISONr_108,Herzog,1986,A,Saatzucht Josef Breun GmbH & Co.KG,FALSE
BRISONr_109,Sorbas,1985,B,Strube Saatzucht,FALSE
BRISONr_110,Tabor,1979,A,Strube,TRUE
BRISONr_111,Terrier,2001,B,Nickerson,FALSE
BRISONr_112,Magister,2005,E,Bauer,FALSE
BRISONr_113,Altos,2000,E,Syngenta Hadmersleben,FALSE
BRISONr_114,Progreß,1969,A,Hege,TRUE
BRISONr_115,Xanthippe,2011,Ck,Sejet Planteforaedling I/S,FALSE
BRISONr_116,Avenir,2013,A,Saatzucht Josef Breun,FALSE
BRISONr_117,Pantus,1966,A,Streng,FALSE
BRISONr_118,Drifter,1999,B,Nickerson,TRUE
BRISONr_119,Joss,1972,C,Breustedt,FALSE
BRISONr_120,Kranich,1969,A,Lochow-Petkus,FALSE
BRISONr_121,Sperber,1982,A,Lochow-Petkus,TRUE
BRISONr_122,Discus,2007,A,Pflanzenzucht SaKa GmbH&Co.KG,FALSE
BRISONr_123,Helios,2013,NA,Arizona Plant Breeders ,FALSE
BRISONr_124,Obelisk,1987,B,Strube Saatzucht,TRUE
BRISONr_125,Magnus,2000,A,Engelen Büchling,FALSE
BRISONr_126,Disponent,1975,A,Bayrische Saatzuchtgesellschaft,TRUE
BRISONr_127,Tambor,1993,A,Semundo,FALSE
BRISONr_128,Boxer,2013,C,Ackermann Saatzucht,FALSE
BRISONr_129,Sokrates,2001,A,Saatzucht Engelen,FALSE
BRISONr_130,Carisuper,1975,A,Heidenreich und Eger,FALSE
BRISONr_131,Rektor,1980,E,Firlbeck,TRUE
BRISONr_132,Alves,2010,A,Lantmaennen SW Seed Hadmersleben GmbH,FALSE
BRISONr_133,NaturaStar,2002,A,Saatzucht Schweiger,FALSE
BRISONr_134,Alidos,1987,E,Saatzucht Hadmersleben,TRUE
BRISONr_135,Monopol,1975,E,Firlbeck,TRUE
BRISONr_136,Akratos,2004,A,Strube Saatzucht,FALSE
BRISONr_137,Knirps,1985,B,Semundo,FALSE
BRISONr_138,Bussard,1990,E,Lochow-Petkus,TRUE
BRISONr_139,Oberst,1980,A,Engelen Büchling,FALSE
BRISONr_140,Cappelle Desprez,NA,B,SAS Florimond Desprez,FALSE
BRISONr_141,Tiger,2001,A,Franck,FALSE
BRISONr_142,Ibis,1991,A,Lochow-Petkus,FALSE
BRISONr_143,Batis,1994,A,Strube Saatzucht,TRUE
BRISONr_144,Topfit,1972,B,Strube Saatzucht,FALSE
BRISONr_145,Akteur,2003,E,DSV,TRUE
BRISONr_146,Ludwig,1998,A,Franck,FALSE
BRISONr_147,Asketis,1998,A,Strube Saatzucht,FALSE
BRISONr_148,Aristos,1997,A,Strube Saatzucht,FALSE
BRISONr_149,Zentos,1989,E,Saatzucht Hadmersleben,FALSE
BRISONr_150,Diplomat,1966,A,Firlbeck,TRUE
BRISONr_151,Astron,1989,A,Strube Saatzucht,FALSE
BRISONr_152,Basalt,1980,B,"Hege, H.-U.",FALSE
BRISONr_153,Kormoran,1973,A,Lochow-Petkus,TRUE
BRISONr_154,Aron,1992,E,Semundo,FALSE
BRISONr_155,KWS Milaneco,2013,E,KWS LOCHOW GMBH,FALSE
BRISONr_156,Aszita,2005,B,Kunz/Schmidt,FALSE
BRISONr_157,Kobold,1978,B,Firlbeck,FALSE
BRISONr_158,Carimulti,1975,B,Heidenreich und Eger,TRUE
BRISONr_159,Admiral,1968,A,Firlbeck,FALSE
BRISONr_160,Vuka,1975,A,Franck,TRUE
BRISONr_161,Benno,1973,E,"Bauer, G.",FALSE
BRISONr_162,Apollo,1984,C,Saatzucht Josef Breun GmbH & Co.KG,TRUE
BRISONr_163,Aquila,1979,B3,Nickerson,FALSE
BRISONr_164,Kanzler,1980,B,Engelen Büchling,TRUE
BRISONr_165,Kraka,1982,A,"Petersen, A.S.",FALSE
BRISONr_166,Caribo,1968,B,Heidenreich und Eger,TRUE
BRISONr_167,Butaro,2009,E,Landbauschule Dottenfelderhof,FALSE
BRISONr_168,Konsul,1990,B,Svaloef Weibull,FALSE
BRISONr_169,Ares,1983,B,Strube Saatzucht,TRUE
BRISONr_170,Centurk,1971,exot,"Nebraska Agricultural Experiment Station, USDA-ARS",FALSE
BRISONr_171,NS 22/92,NA,NA,NA,FALSE
BRISONr_172,Benni multifloret,1980,exot,Purdue University Agricultural Experiment Station,FALSE
BRISONr_173,Hope,NA,NA,S.Dakota Agricultural Experiment Station,FALSE
BRISONr_174,Vel,NA,NA,NA,FALSE
BRISONr_175,Phoenix,1981,exot,"Agricultural Research Institute, Wagga Wagga",FALSE
BRISONr_176,Mironovska 808,1963,exot,Mironovskii institut selektsii i semenovodstva pshenitsy,FALSE
BRISONr_177,Caphorn,2000,NA,RAGT 2N,FALSE
BRISONr_178,Cordiale,2003,NA,KWS UK Limited,FALSE
BRISONr_179,Apache,1997,A,Nickerson>Limagrain,FALSE
BRISONr_180,Premio,2006,B,RAGT,FALSE
BRISONr_181,Isengrain,1996,B,"Florimond Desprez, WvB, Witt",FALSE
BRISONr_182,Alixan,2005,A,Limagrain,FALSE
BRISONr_183,Boregar,2007,A7 ,RAGT 2N,FALSE
BRISONr_184,Renesansa,1995,A2-A1,"Institute of Field and Vegetable Crops, Novi Sad",FALSE
BRISONr_185,Tremie,1991,NA,Serasem>RAGT,FALSE
BRISONr_186,KWS Ferrum,2012,B,KWS LOCHOW GMBH ,FALSE
BRISONr_187,Triple Dirk,NA,NA,Instituto Nacional de Investigaciones Agricolas,FALSE
BRISONr_188,Cardos,1998,A,Saatzucht Hadmersleben,TRUE
BRISONr_189,Soissons,1987,B/A ,Florimond Desprez,FALSE
BRISONr_190,BCD 1302/83,NA,NA,"Goertzen Seed Research, Westbred?",FALSE
BRISONr_191,Arlequin,2007,NA,Limagrain Verneuil Holding,FALSE
BRISONr_192,Sonalika,1967,exot,Indian Agricultural Research Institute IARI,FALSE
BRISONr_193,Camp Remy,1980,B,Unisigma,FALSE
BRISONr_194,Cajeme 71,1971,exot,CIMMYT,FALSE
BRISONr_195,Avalon,1980,B/Gd,Plant Breeding International Cambridge PBIC,FALSE
BRISONr_196,Ivanka,1998,B,"Institute of Field and Vegetable Crops, Novi Sad",FALSE
BRISONr_197,Pobeda,1990,A1-A2,"Institute of Field and Vegetable Crops, Novi Sad",FALSE
BRISONr_198,NS 66/92,NA,NA,NA,FALSE
BRISONr_199,Mexico 3,NA,NA,"BAZ, Braunschweig Genetic Resources Centre",FALSE
BRISONr_200,Orcas,2010,B,Secobra Recherches,FALSE
BRISONr_201,Nimbus,1975,B,Firlbeck,FALSE
BRISONr_202,Muskat,2010,C,DSV,FALSE
BRISONr_203,Florida,1984,NA,NA,FALSE
BRISONr_204,Rumor,2013,B,Dr. Hermann Strube,FALSE
BRISONr_205,Highbury,1968,A,Plant Breeding International Cambridge (PBIC),FALSE
BRISONr_206,Siete Cerros,1966,exot,"Instituto Nacional de Investigaciones Agricolas, CIMMYT",FALSE
BRISONr_207,Kontrast,1990,A,Saatzucht Hadmersleben,TRUE
BRISONr_208,WW 4180,2012,NA,Saatzucht Josef Breun,FALSE
BRISONr_209,INTRO 615,NA,NA,NA,FALSE
BRISONr_210,NS 46/90,NA,NA,NA,FALSE
BRISONr_211,Mex. 17 bb,NA,NA,CIMMYT,FALSE
BRISONr_212,Labriego-Inia,1980,NA,INIA Chillan,FALSE
BRISONr_213,Pegassos,1994,A,Strube Saatzucht,TRUE
BRISONr_214,Hybred,2003,B,Nordsaat,FALSE
BRISONr_215,Hyland,2009,B,Nordsaat,FALSE
BRISONr_216,Hybery,2010,B,Saaten Union Recherche,FALSE
BRISONr_217,Hystar,2007,B,Saaten Union Recherche,FALSE
BRISONr_218,Hylux,2012,B,Saaten Union Recherche,FALSE
BRISONr_219,Piko,1994,B,NORDSAAT,FALSE
BRISONr_220,SUR 99820,NA,NA,Saaten Union Recherche SAS ?,FALSE
BRISONr_50,Hermann,2004,C,Limagrain-Nickerson,TRUE
BRISONr_221,Julius,2008,A,KWS Lochow,TRUE
BRISONr_222,RGT Reform,2014,A,RAGT,TRUE
BRISONr_223,Benchmark,2015,B,Sejet,TRUE
BRISONr_224,Barranco,2016,E,Secobra,TRUE
BRISONr_225,Nordkap,2016,A,Nordsaat,TRUE
BRISONr_226,Porthus,2016,B,Strube,TRUE
BRISONr_227,Sheriff,2016,C,ISZ/Sejet,TRUE
BRISONr_228,Apostel,2016,A,Streng,TRUE
